Source;Target;Type
'04416';HJP;Undirected
'04416';MFP;Undirected
'04416';SPJ;Undirected
'04416';BJU;Undirected
'04735';BKN;Undirected
'04735';NPS;Undirected
'04735';SDF;Undirected
'04735';SDGH;Undirected
'04735';RJR;Undirected
'04735';RTGH;Undirected
'04735';CUR;Undirected
'04735';SDLP;Undirected
'04735';LHU;Undirected
'04735';MHRG;Undirected
'04735';RE;Undirected
'04735';DLI;Undirected
'04735';DSA;Undirected
'04735';BTU;Undirected
'04735';SMQL;Undirected
'04735';TPZ;Undirected
'04735';RK;Undirected
'04735';HW;Undirected
'04736';HW;Undirected
'04736';RK;Undirected
'04736';TPZ;Undirected
'04736';SMQL;Undirected
'04736';BTU;Undirected
'04736';DSA;Undirected
'04736';DLI;Undirected
'04736';RE;Undirected
'04736';MHRG;Undirected
'04736';LHU;Undirected
'04736';SDLP;Undirected
'04736';CUR;Undirected
'04736';RTGH;Undirected
'04736';RJR;Undirected
'04736';SDGH;Undirected
'04736';SDF;Undirected
'04736';NPS;Undirected
'04736';BKN;Undirected
'04801';JU;Undirected
'04801';RKB;Undirected
'04801';MMY;Undirected
'04801';TIW;Undirected
'04801';OSN;Undirected
'04801';MWT;Undirected
'04801';PLCJ;Undirected
'04801';RDRA;Undirected
'04801';AQG;Undirected
'04801';SBLT;Undirected
'04801';JSM;Undirected
'04802';JSM;Undirected
'04802';SBLT;Undirected
'04802';AQG;Undirected
'04802';RDRA;Undirected
'04802';PLCJ;Undirected
'04802';MWT;Undirected
'04802';OSN;Undirected
'04802';TIW;Undirected
'04802';MMY;Undirected
'04802';RKB;Undirected
'04802';JU;Undirected
'04923';LKO;Undirected
'04923';BE;Undirected
'04923';MB;Undirected
'04923';SRE;Undirected
'04923';JUD;Undirected
'04923';UMB;Undirected
'04923';CDG;Undirected
'04923';RPAR;Undirected
'04923';NLDM;Undirected
'04924';NLDM;Undirected
'04924';RPAR;Undirected
'04924';CDG;Undirected
'04924';UMB;Undirected
'04924';JUD;Undirected
'04924';SRE;Undirected
'04924';MB;Undirected
'04924';BE;Undirected
'04924';LKO;Undirected
'04927';BSB;Undirected
'04927';SLN;Undirected
'04927';LKO;Undirected
'04927';BE;Undirected
'04927';MB;Undirected
'04927';SRE;Undirected
'04927';UMB;Undirected
'04927';CDG;Undirected
